filename,score
0206dca3a3464899899692f60b53fbb6.JPG,62
0208a8853a18426aa572e4e51e6e80dd.JPG,56
020a5ebd614a43e2a11a8c0c18f705b0.JPG,44
020b846fa4074d14b898fe8193395de2.JPG,41
020b94e390a84d53839d6a05adbe8b6f.JPG,59
020d3905d4af4e5ca358bc31d9b16b4e.JPG,72
020df871391240f480b5acab09ee0905.JPG,84
0214ae491b1d480881a47bddd317131a.JPG,38
021988aa72904fcb87eae4fd03d92109.JPG,38
021af01111e54ddb87d4199011b8b551.JPG,81
022345d2739e4a9d9c3c31a109e8e022.JPG,56
0225847a07c949978d87e05af34d4fe6.JPG,44
02282aab9a1d46b0b2f3917980235cc0.JPG,91
022b25403eda489895fabda696107782.JPG,62
023256c76dd142f280d24a60305ffc20.JPG,56
0232c2f9f8f54fd98bca39eb6b200e2c.JPG,44
0232d0aa76194b229c176deb53dc0fea.JPG,69
023659853df745a49c99cc60e8e23e12.JPG,41
0238f017101649fe9863a21959008b95.JPG,59
0246348cd8ec480985971aa91a852434.JPG,38
0248cb75ed55430c9016ded027526570.JPG,72
0249994564a34360af7ec7c58fd2585c.JPG,69
024c736ee11e4ca2a66fa46f158964e7.JPG,78
0256264867574192a05594c760b880ab.JPG,34
025d2a8d1cda42deb9d1436011ef43c8.JPG,81
025eea04bf6e41688bc501f5a4c7fc7f.JPG,72
025efced8aa741cb89b499e48dcadc16.JPG,56
02602b6bbcbb40b4b369ee90923f9154.JPG,69
0269d7e9846548d9a940d2822c7c4ff5.JPG,44
0269ed3362d44bbeadd1e0f4f58a4c64.JPG,56
026a1188b8124178b0bd66c013397819.JPG,38
0272c5319e33451cbb432e511e9d2df1.JPG,50
027f7f8d95df42799c578b173420f7d1.JPG,38
028283cfe72944139b5405c76a3de3cd.JPG,53
02835138d66f4c5d99c6953857227bf7.JPG,41
0288bf2b86824d0da260a7501ff9bb4f.JPG,69
028c236510cb439798aedd16403f5ba5.JPG,59
028e55191bab4675a179a63e94578fed.JPG,34
028fb0a7cf534bd3aff2cbade4b431fd.JPG,34
0290f9ea274648408cee9cb9e693d461.JPG,56
029b7668f6c2483bb1ed1622dbe0086b.JPG,34
029df276f3354b88aa48125dd7c63738.JPG,34
02a537b1332a4d9284668a8303d7d260.JPG,34
02a63dc80e05429aa0dbb54887b6d1ef.JPG,59
